DAY,Muscle Mass,Anabolic,Catabolic
937,25.7698265,184.7809488,181.5070523
938,25.77566734,178.3343281,174.2871604
939,25.78280888,171.9571399,167.1376868
940,25.78710438,198.2765835,195.1205533
941,25.79184689,191.172535,187.7756875
942,25.79756235,184.5386126,180.4973084
943,25.80450078,178.100211,173.2875272
944,25.81277622,171.726018,166.1484479
945,25.817221,197.643283,194.3757323
946,25.82214165,190.5532146,187.0386908
947,25.82807076,183.9542857,179.7682558
948,25.83518609,177.5268874,172.5665058
949,25.84365007,171.1590386,165.435562
950,25.84881383,198.2105387,194.2819007
951,25.85445134,191.1070955,186.9459414
952,25.86109429,184.4771856,179.6767057
953,25.86900454,178.0410449,172.4763224
954,25.87829405,171.6692835,165.3468968
955,25.88285305,198.6416734,195.2135418
956,25.88779108,191.4589293,187.8698112
957,25.89366634,184.7880137,180.5926366
958,25.9007592,178.3466033,173.3840582
959,25.90918769,171.9728406,166.2461565
960,25.91230191,198.5685814,196.3015041
961,25.91573912,191.3876846,188.9488935
962,25.92009844,184.7457668,181.6625238
963,25.92563382,178.3115896,174.4443853
964,25.93245176,171.9388251,167.2965282
965,25.93629552,197.7890707,194.9336299
966,25.94056199,190.6899743,187.594017
967,25.94578307,184.0555982,180.3208468
968,25.95221946,177.6261139,173.1162385
969,25.95998304,171.2604423,165.982294
970,25.96388014,198.1777959,195.190919
971,25.96821734,191.0413501,187.8492029
972,25.97352626,184.4010399,180.5739971
973,25.98005618,177.9679318,173.3673206
974,25.98791723,171.5996648,166.2312402
975,25.99120621,197.8057522,195.3245439
976,25.99500426,190.7753453,187.9826805
977,25.99981687,184.1974785,180.7070738
978,26.00584273,177.772527,173.4998297
979,26.01318404,171.4069547,166.3630664
980,26.01547568,198.6402374,196.8917576
981,26.01813779,191.4854169,189.535962
982,26.02170782,184.8348081,182.2461568
983,26.02644134,178.3999428,175.0243952
984,26.03244479,172.0288405,167.8727393
985,26.03438023,198.46623,197.0879554
986,26.03661106,191.3008791,189.7310761
987,26.03972899,184.6587727,182.4399972
988,26.0439925,178.2282159,175.21682
989,26.04950651,171.8591235,168.0636223
990,26.05107706,198.3725331,197.2834908
991,26.05298063,191.237886,189.9252995
992,26.05578475,184.6200864,182.6329188
993,26.05972506,178.1924881,175.4083856
994,26.06490903,171.8241506,168.2537512
995,26.06640299,198.5045578,197.3852135
996,26.06826082,191.3565143,190.0261704
997,26.07100697,184.7162545,182.7330016
998,26.07489845,178.2880037,175.5077485
999,26.08004336,171.9190122,168.3524368
1000,26.08150965,198.3169876,197.2569393
1001,26.08331699,191.1699004,189.8995513
1002,26.08599993,184.5231419,182.6078979
1003,26.08982009,178.0947505,175.3840958
1004,26.09488578,171.7278598,168.2302183
1005,26.0954292,198.7084273,198.4180399
1006,26.09623048,191.5130289,191.0503224
1007,26.09785749,184.8518485,183.7482375
1008,26.10057819,178.4147629,176.5137299
1009,26.10450089,172.0449504,169.3488055
1010,26.10349799,198.9786992,200.0003508
1011,26.10258602,191.7097773,192.6189267
1012,26.10242359,185.0283467,185.3027549
1013,26.10329141,178.5889702,178.0536729
1014,26.10529344,172.2170749,170.8736294
1015,26.10431668,198.2349758,199.1818011
1016,26.10362421,191.114594,191.8072399
1017,26.10377064,184.5038972,184.4978284
1018,26.10498456,178.0772108,177.2555977
1019,26.10735865,171.7096568,170.0825819
1020,26.10702611,198.0776513,198.5094322
1021,26.1070242,191.001991,191.1403972
1022,26.10787939,184.3913625,183.8367674
1023,26.10982164,177.9652973,176.6005942
1024,26.11294756,171.5984844,169.4338935
1025,26.11257449,198.2023589,198.6192153
1026,26.11252392,191.1114216,191.2491817
1027,26.11335921,184.5134549,183.9444675
1028,26.11529467,178.0861437,176.7071208
1029,26.11842164,171.7179857,169.5391964
1030,26.11899116,198.7378107,198.39239
1031,26.1197688,191.5301295,191.0235197
1032,26.12138234,184.8721891,183.7202314
1033,26.12411801,178.4411444,176.4845226
1034,26.12807632,172.0694062,169.3184084
1035,26.12926544,198.389256,197.5534138
1036,26.13071668,191.203635,190.191718
1037,26.13302267,184.5400239,182.8956879
